Number,Name,URL
1,Conquer by the clock,https://archive.org/details/77114-conquer-by-the-clock
2,What time is it,https://archive.org/details/31310HDWhatTimeIsIt
3,Snooze alarm clocks,https://archive.org/details/1959-commercial-for-general-electric-snooze-alarm-clocks
4,Clocks and Arieals,https://archive.org/details/PET720_Var1
5,The Year was 1912,https://archive.org/details/generic-File-The_Year_Was_1912_in_London
6,We work again,https://archive.org/details/we_work_again_1937
7,Colourised war footage,https://www.youtube.com/watch?v=1j51_jOxErw
8,Fake titanic footage,https://www.youtube.com/watch?v=U1iJ-6Rs1dY
9,Women at work,https://archive.org/details/0995_Danger_Women_at_Work_01_15_48_19
10,Milwards,https://www.youtube.com/watch?v=E_4aaSRirWk&list=PLk-p6CSOy6nutj-cqMtuGmtt5QkQrVbzg&index=7
11,The Thames,https://archive.org/details/twitter-1165639970716995586
12,fairground rides,https://www.youtube.com/watch?v=lUU_yJDntMk
13,is it love,https://www.youtube.com/watch?v=UxYvICy29Pg
14,more memories,https://www.youtube.com/watch?v=8oaMB1dZcBY
15,street scenes,https://www.youtube.com/watch?v=jonpe3VFS4Q
16,some seaside place,https://www.youtube.com/watch?v=PcwF92C-OeY
17,An Inspector Calls,https://archive.org/details/AnInspectorCalls1954_201508
18,Women Working,https://www.youtube.com/watch?v=HzSg8hGtEb4
